asset_id,date,t_index,state_value,degradation_rate,HSI,HDR,recovery_margin,observability_score,intervention_flag_core9,stabilized
1503960366,2016-04-12,0,-0.0028021405794481,,-0.0028021405794481,,,1.0,0,False
1503960366,2016-04-13,1,0.4527900163137072,,0.4527900163137072,,,1.0,0,False
1503960366,2016-04-14,2,,,,,,0.8666666666666667,0,False
1503960366,2016-04-15,3,,,,,,0.8,0,False
1503960366,2016-04-16,4,,,,,,0.76,0,False
1503960366,2016-04-17,5,,,,,,0.7333333333333334,0,False
1503960366,2016-04-18,6,,,,,,0.7142857142857142,0,False
1503960366,2016-04-19,7,,,,,,0.7,0,False
1503960366,2016-04-20,8,,,,,,0.6888888888888889,0,False
1503960366,2016-04-21,9,,,,,,0.6799999999999999,0,False
1503960366,2016-04-22,10,,,,,,0.6727272727272726,0,False
1503960366,2016-04-23,11,,,,,,0.6666666666666666,0,False
1503960366,2016-04-24,12,,,,,,0.6615384615384615,0,False
1503960366,2016-04-25,13,,,,,,0.6571428571428571,0,False
1503960366,2016-04-26,14,,,,,,0.6285714285714286,0,False
1503960366,2016-04-27,15,,,,,,0.6,0,False
1503960366,2016-04-28,16,,,,,,0.6,0,False
1503960366,2016-04-29,17,,,,,,0.6,0,False
1503960366,2016-04-30,18,,,,,,0.6,0,False
1503960366,2016-05-01,19,,,,,,0.6,0,False
1503960366,2016-05-02,20,,,,,,0.6,0,False
1503960366,2016-05-03,21,,,,,,0.6,0,False
1503960366,2016-05-04,22,,,,,,0.6,0,False
1503960366,2016-05-05,23,,,,,,0.6,0,False
1503960366,2016-05-06,24,,,,,,0.6,0,False
1503960366,2016-05-07,25,,,,,,0.6,0,False
1503960366,2016-05-08,26,,,,,,0.6,0,False
1503960366,2016-05-09,27,,,,,,0.6,0,False
1503960366,2016-05-10,28,,,,,,0.6,0,False
1503960366,2016-05-11,29,0.0748523054993308,,0.0748523054993308,,,0.6285714285714286,0,False
1503960366,2016-05-12,30,,,,,,0.6285714285714286,0,False
1624580081,2016-04-12,0,-0.0979066592349346,,-0.0979066592349346,,,1.0,0,True
1624580081,2016-04-13,1,0.2763821225383872,,0.2763821225383872,,,1.0,0,False
1624580081,2016-04-14,2,-0.2698334266411923,,-0.2698334266411923,,,1.0,0,True
1624580081,2016-04-15,3,0.6773138871232769,0.2584068487860705,0.6773138871232769,0.2584068487860705,0.3303590238844477,1.0,0,False
1624580081,2016-04-16,4,0.3291217107227315,0.1067570924894165,0.3291217107227315,0.1067570924894165,0.2642872191075582,1.0,0,False
1624580081,2016-04-17,5,0.1642573776178843,0.0524328073705637,0.1642573776178843,0.0524328073705637,0.2202393492562985,1.0,0,False
1624580081,2016-04-18,6,-0.2113305682876741,-0.0189039848421232,-0.2113305682876741,-0.0189039848421232,0.1887765850768273,1.0,0,True
1624580081,2016-04-19,7,0.1625130170540402,0.0372028108984249,0.1625130170540402,0.0372028108984249,0.2119099601099381,1.0,0,False
1624580081,2016-04-20,8,0.0758919568042183,-0.0286414522477384,0.0758919568042183,-0.0286414522477384,0.1883644089866117,1.0,0,False
1624580081,2016-04-21,9,-0.1303857625408484,0.0199210948714776,-0.1303857625408484,0.0199210948714776,0.1695279680879505,1.0,0,True
1624580081,2016-04-22,10,0.163079630694268,-0.0734620366327155,0.163079630694268,-0.0734620366327155,0.1807950067376929,1.0,1,True
1624580081,2016-04-23,11,-0.0878087947180182,-0.0595615007772499,-0.0878087947180182,-0.0595615007772499,0.1657287561762184,1.0,1,True
1624580081,2016-04-24,12,0.0177634681772791,-0.0209277013486578,0.0177634681772791,-0.0209277013486578,0.1611013336161476,1.0,0,False
1624580081,2016-04-25,13,-0.183627208520823,0.0039576228238358,-0.183627208520823,0.0039576228238358,0.1495940955007084,1.0,0,False
1624580081,2016-04-26,14,0.159558531644281,-0.0004220693442513,0.159558531644281,-0.0004220693442513,0.1741073626553587,1.0,0,False
1624580081,2016-04-27,15,-0.1224835258798146,-0.0283393546691475,-0.1224835258798146,-0.0283393546691475,0.1473724496715501,1.0,0,True
1624580081,2016-04-28,16,0.1956093245037735,0.0465707267206602,0.1956093245037735,0.0465707267206602,0.1700933675560921,1.0,0,True
1624580081,2016-04-29,17,0.3705614040248189,0.0296402533329358,0.3705614040248189,0.0296402533329358,0.1149365651101332,1.0,0,True
1624580081,2016-04-30,18,0.0421582090092287,0.0185667148181781,0.0421582090092287,0.0185667148181781,0.1149365651101332,1.0,0,True
1624580081,2016-05-01,19,-2.1347713967459008,-0.3075049807033114,-2.1347713967459008,-0.3075049807033114,0.1149365651101332,0.9785714285714284,1,True
1624580081,2016-05-02,20,-0.7856744374642757,-0.0860067469919218,-0.7856744374642757,-0.0860067469919218,0.2113006336302493,0.9785714285714284,1,True
1624580081,2016-05-03,21,-0.0915120195809354,-0.0358672216036023,-0.0915120195809354,-0.0358672216036023,0.2341805502403655,0.9785714285714284,0,True
1624580081,2016-05-04,22,0.1598721927665499,0.0403365312351949,0.1598721927665499,0.0403365312351949,0.2521365654080429,0.9785714285714284,0,False
1624580081,2016-05-05,23,0.5599014227673624,0.0520417283233698,0.5599014227673624,0.0520417283233698,0.2807100818366725,0.9785714285714284,0,False
1624580081,2016-05-06,24,1.0357759357529508,0.0950306473897331,1.0357759357529508,0.0950306473897331,0.2937393046759919,0.9785714285714284,0,False
1624580081,2016-05-07,25,1.2828801914965726,0.177245997498192,1.2828801914965726,0.177245997498192,0.3113896086576792,0.9785714285714284,0,False
